Mean Values
year,week,SMN,SMT,VCI,TCI,VHI,%Area_VHI_LESS_15,%Area_VHI_LESS_35
1981, 35, 0.2741,283.185, 27.82, 75.08, 51.45,  0.00,  3.70
1981, 36, 0.2805,284.663, 35.65, 60.98, 48.32,  0.00,  8.87
1981, 37, 0.2875,285.343, 45.14, 45.80, 45.47,  0.00, 15.24
1981, 38, 0.2871,285.421, 50.03, 35.32, 42.67,  0.09, 21.53
1981, 39, 0.2818,284.827, 53.07, 29.08, 41.07,  0.17, 26.44
1981, 40, 0.2657,283.528, 52.94, 28.11, 40.53,  0.26, 27.99
1981, 41, 0.2416,281.430, 50.52, 32.59, 41.56,  0.09, 27.39
1981, 42, 0.2131,278.474, 46.34, 41.04, 43.69,  0.09, 19.90
1981, 43, 0.1800,274.512, 40.51, 52.96, 46.74,  0.00, 14.21
1981, 44, 0.1450,270.289, 33.97, 62.86, 48.42,  0.00, 11.54
1981, 45, 0.1128,266.312, 27.46, 68.55, 48.01,  0.00, 12.75
1981, 46, 0.0889,262.342, 24.12, 73.35, 48.74,  0.00, 12.40
1981, 47, 0.0769,258.965, 26.93, 77.93, 52.43,  0.00,  7.92
1981, 48, 0.0691,256.761, 31.30, 79.69, 55.50,  0.00,  5.34
1981, 49, 0.0632,255.619, 31.16, 78.65, 54.90,  0.09,  5.86
1981, 50, 0.0611,254.381, 33.66, 79.29, 56.47,  0.09,  3.10
1981, 51, 0.0574,253.504, 34.36, 80.03, 57.19,  0.09,  2.76
1981, 52, 0.0552,253.541, 34.03, 77.44, 55.73,  0.09,  4.82
1982,  1, 0.0553,254.883, 36.19, 69.03, 52.61,  0.00,  7.32
1982,  2, 0.0567,256.889, 34.85, 59.27, 47.06,  0.00, 15.33
1982,  3, 0.0596,258.885, 35.58, 50.34, 42.96,  0.17, 22.65
1982,  4, 0.0626,260.907, 34.14, 44.21, 39.17,  0.09, 33.16
1982,  5, 0.0642,262.693, 31.34, 40.72, 36.03,  0.34, 46.68
1982,  6, 0.0658,264.271, 29.47, 38.76, 34.11,  0.69, 60.72
1982,  7, 0.0690,265.566, 28.82, 38.75, 33.78,  0.52, 61.41
1982,  8, 0.0730,266.862, 29.62, 38.89, 34.26,  0.34, 59.52
1982,  9, 0.0763,268.463, 29.10, 43.42, 36.26,  0.26, 48.67
1982, 10, 0.0811,270.425, 28.69, 41.02, 34.85,  0.26, 54.35
1982, 11, 0.0877,272.145, 28.56, 40.12, 34.34,  0.09, 55.04
1982, 12, 0.0958,273.727, 28.82, 39.53, 34.17,  0.09, 55.81
1982, 13, 0.1020,274.854, 28.81, 37.55, 33.18,  0.34, 61.33
1982, 14, 0.1068,275.375, 28.66, 37.96, 33.31,  0.17, 61.76
1982, 15, 0.1085,275.379, 26.82, 41.04, 33.93,  0.43, 59.26
1982, 16, 0.1191,276.198, 17.61, 61.96, 39.78,  0.43, 33.85
1982, 17, 0.1351,277.497, 17.24, 64.84, 41.04,  0.17, 27.22
1982, 18, 0.1604,279.704, 19.41, 62.09, 40.75,  0.09, 27.39
1982, 19, 0.2057,283.245, 28.00, 50.45, 39.22,  0.09, 33.59
1982, 20, 0.2491,286.082, 31.33, 43.65, 37.49,  0.60, 40.22
1982, 21, 0.2792,287.352, 35.84, 41.12, 38.48,  0.69, 34.97
1982, 22, 0.2952,287.901, 36.68, 41.38, 39.03,  0.52, 33.42
1982, 23, 0.2974,288.019, 35.38, 42.86, 39.12,  0.26, 32.30
1982, 24, 0.2924,287.671, 33.99, 47.19, 40.59,  0.26, 27.82
1982, 25, 0.2915,287.452, 34.12, 50.19, 42.15,  0.09, 24.46
1982, 26, 0.2895,287.555, 33.75, 52.04, 42.90,  0.17, 24.63
1982, 27, 0.2936,288.132, 35.50, 52.24, 43.87,  0.17, 22.74
1982, 28, 0.2950,288.661, 37.14, 52.64, 44.89,  0.09, 20.50
1982, 29, 0.3033,289.580, 40.79, 47.63, 44.21,  0.26, 21.27
1982, 30, 0.3068,290.126, 33.25, 44.70, 38.97,  0.52, 34.02
1982, 31, 0.3090,290.672, 32.97, 41.72, 37.34,  0.34, 41.17
1982, 32, 0.3176,291.346, 36.44, 35.76, 36.10,  1.03, 46.68
1982, 33, 0.3245,291.621, 38.94, 31.11, 35.02,  2.93, 51.59
1982, 34, 0.3249,291.502, 40.40, 26.06, 33.23,  3.79, 57.28
1982, 35, 0.3184,291.378, 42.54, 17.36, 29.95,  6.72, 70.37
1982, 36, 0.3074,291.250, 44.78,  9.42, 27.10,  9.73, 81.57
1982, 37, 0.2904,290.446, 45.12,  6.18, 25.65, 12.66, 86.13
1982, 38, 0.2750,289.131, 44.31,  6.64, 25.47, 12.66, 86.99
1982, 39, 0.2509,287.214, 40.01, 10.90, 25.45, 12.23, 86.22
1982, 40, 0.2304,285.393, 37.38, 13.81, 25.59, 13.18, 84.75
1982, 41, 0.2165,284.075, 38.16, 12.59, 25.38, 15.59, 83.29
1982, 42, 0.2104,282.831, 43.41, 10.50, 26.96, 13.26, 78.90
1982, 43, 0.1973,281.243, 47.36,  9.68, 28.52, 10.34, 72.35
1982, 44, 0.1806,279.606, 51.90,  8.07, 29.98,  9.65, 67.10
1982, 45, 0.1636,277.766, 58.90,  6.69, 32.79,  5.34, 58.05
1982, 46, 0.1462,275.786, 64.75,  6.11, 35.43,  2.76, 50.04
1982, 47, 0.1287,273.384, 65.17,  8.76, 36.96,  0.77, 44.88
1982, 48, 0.1113,270.771, 63.81, 12.81, 38.31,  0.43, 39.28
1982, 49, 0.0997,268.386, 62.07, 16.59, 39.33,  0.52, 37.38
1982, 50, 0.0890,265.626, 59.38, 23.83, 41.60,  0.34, 34.02
1982, 51, 0.0785,262.801, 54.67, 33.72, 44.19,  0.34, 26.27
1982, 52, 0.0689,260.971, 48.05, 40.22, 44.14,  0.69, 27.74
1983,  1, 0.0621,260.548, 44.62, 41.66, 43.14,  1.64, 30.32
1983,  2, 0.0599,261.518, 39.60, 38.65, 39.12,  1.03, 38.93
1983,  3, 0.0606,262.790, 38.76, 34.23, 36.50,  1.38, 45.13
