Mean Values
year,week,SMN,SMT,VCI,TCI,VHI,%Area_VHI_LESS_15,%Area_VHI_LESS_35
1981, 35, 0.1925,283.943,  6.77, 86.13, 46.45,  0.33, 13.31
1981, 36, 0.2028,285.254, 13.36, 72.60, 42.98,  1.52, 25.01
1981, 37, 0.2076,285.804, 21.14, 55.89, 38.51,  3.23, 39.90
1981, 38, 0.2118,285.846, 30.77, 40.26, 35.51,  3.89, 50.51
1981, 39, 0.2109,284.953, 38.79, 31.58, 35.18,  3.16, 51.56
1981, 40, 0.2040,283.261, 45.26, 27.95, 36.60,  2.08, 46.62
1981, 41, 0.1908,280.611, 49.14, 32.01, 40.58,  0.96, 32.62
1981, 42, 0.1709,277.268, 50.10, 40.65, 45.38,  0.36, 20.66
1981, 43, 0.1460,273.772, 47.83, 46.86, 47.35,  0.23, 16.74
1981, 44, 0.1178,269.764, 41.51, 54.12, 47.81,  0.20, 16.64
1981, 45, 0.0970,266.195, 39.27, 58.14, 48.71,  0.07, 16.44
1981, 46, 0.0810,262.801, 39.21, 60.61, 49.91,  0.13, 15.42
1981, 47, 0.0702,259.909, 39.66, 61.87, 50.76,  0.33, 16.94
1981, 48, 0.0627,257.739, 40.37, 61.51, 50.94,  0.63, 18.62
1981, 49, 0.0576,256.093, 40.27, 61.63, 50.95,  0.96, 18.75
1981, 50, 0.0571,254.756, 45.48, 63.43, 54.45,  0.69, 14.47
1981, 51, 0.0547,254.007, 47.85, 64.51, 56.18,  0.59, 12.16
1981, 52, 0.0520,254.273, 49.06, 60.94, 55.00,  0.56, 12.98
1982,  1, 0.0519,255.674, 54.43, 49.19, 51.81,  0.86, 14.99
1982,  2, 0.0514,257.086, 54.97, 40.44, 47.70,  0.82, 19.24
1982,  3, 0.0501,258.098, 52.67, 37.34, 45.01,  0.69, 22.90
1982,  4, 0.0480,259.456, 49.28, 35.54, 42.41,  0.73, 27.22
1982,  5, 0.0435,259.828, 41.35, 40.74, 41.04,  0.30, 29.00
1982,  6, 0.0391,260.330, 31.57, 46.43, 39.00,  0.33, 35.95
1982,  7, 0.0371,261.414, 24.57, 49.72, 37.14,  0.33, 43.89
1982,  8, 0.0379,262.975, 20.89, 50.17, 35.53,  0.23, 50.61
1982,  9, 0.0399,264.999, 19.26, 49.15, 34.20,  0.33, 56.41
1982, 10, 0.0448,267.554, 19.58, 44.26, 31.92,  0.33, 68.93
1982, 11, 0.0545,270.248, 21.47, 39.95, 30.70,  0.20, 75.58
1982, 12, 0.0667,272.846, 23.68, 37.66, 30.67,  0.20, 75.29
1982, 13, 0.0770,275.001, 24.43, 37.19, 30.81,  0.43, 73.44
1982, 14, 0.0842,276.652, 23.67, 37.52, 30.59,  0.76, 74.00
1982, 15, 0.0921,277.717, 22.97, 40.86, 31.91,  0.59, 69.13
1982, 16, 0.1086,279.373, 12.66, 62.88, 37.77,  0.30, 42.64
1982, 17, 0.1263,281.116, 10.34, 69.87, 40.11,  0.30, 33.18
1982, 18, 0.1574,283.474, 12.63, 69.91, 41.27,  0.36, 29.00
1982, 19, 0.1968,285.827, 15.82, 67.38, 41.60,  0.33, 27.48
1982, 20, 0.2394,287.906, 18.62, 62.66, 40.64,  0.53, 30.05
1982, 21, 0.2761,289.017, 23.10, 61.79, 42.44,  0.43, 24.51
1982, 22, 0.3022,289.547, 26.92, 60.72, 43.82,  0.23, 21.88
1982, 23, 0.3161,289.791, 28.21, 61.54, 44.87,  0.26, 19.24
1982, 24, 0.3195,289.663, 26.89, 65.98, 46.43,  0.17, 14.66
1982, 25, 0.3181,289.474, 24.56, 71.01, 47.78,  0.17, 11.37
1982, 26, 0.3190,289.390, 23.75, 73.79, 48.77,  0.07,  7.64
1982, 27, 0.3203,289.601, 24.45, 73.85, 49.15,  0.07,  7.45
1982, 28, 0.3278,290.333, 28.12, 71.04, 49.58,  0.00,  7.28
1982, 29, 0.3380,291.355, 33.01, 66.59, 49.80,  0.00,  7.28
1982, 30, 0.3419,291.799, 42.34, 65.72, 54.03,  0.00,  3.46
1982, 31, 0.3438,292.233, 46.48, 62.62, 54.55,  0.00,  3.13
1982, 32, 0.3367,292.410, 46.33, 59.83, 53.08,  0.00,  4.45
1982, 33, 0.3322,292.394, 47.88, 55.82, 51.85,  0.00,  6.52
1982, 34, 0.3313,292.129, 52.07, 48.09, 50.08,  0.00,  8.80
1982, 35, 0.3303,291.527, 58.10, 39.62, 48.86,  0.07, 10.64
1982, 36, 0.3255,290.973, 64.02, 27.84, 45.93,  0.10, 15.32
1982, 37, 0.3106,290.018, 66.62, 19.92, 43.27,  0.17, 21.52
1982, 38, 0.2943,288.388, 68.90, 17.67, 43.29,  0.07, 22.21
1982, 39, 0.2662,286.356, 65.44, 19.12, 42.28,  0.26, 25.60
1982, 40, 0.2295,284.082, 58.14, 20.59, 39.36,  1.22, 35.26
1982, 41, 0.1942,281.874, 50.87, 21.31, 36.09,  3.46, 47.08
1982, 42, 0.1714,279.895, 50.05, 18.98, 34.51,  5.50, 51.73
1982, 43, 0.1529,277.603, 51.88, 17.36, 34.62,  5.50, 51.07
1982, 44, 0.1362,275.707, 54.42, 12.34, 33.38,  7.12, 54.17
1982, 45, 0.1144,274.034, 53.65,  7.88, 30.76, 10.54, 62.24
1982, 46, 0.0990,272.068, 56.73,  6.06, 31.40, 10.02, 61.09
1982, 47, 0.0839,269.668, 54.69,  6.45, 30.57,  9.89, 64.35
1982, 48, 0.0712,267.048, 50.46,  9.39, 29.93,  9.49, 68.50
1982, 49, 0.0614,264.750, 45.19, 12.39, 28.79, 10.54, 73.01
1982, 50, 0.0563,262.839, 43.83, 15.50, 29.66,  9.32, 70.25
1982, 51, 0.0551,260.893, 47.60, 21.93, 34.76,  4.35, 54.83
1982, 52, 0.0504,259.498, 45.37, 27.83, 36.60,  3.86, 47.71
1983,  1, 0.0458,258.836, 42.44, 29.27, 35.85,  5.04, 50.48
1983,  2, 0.0439,258.487, 40.78, 31.90, 36.34,  5.37, 49.98
1983,  3, 0.0438,258.135, 41.52, 36.98, 39.25,  3.06, 43.53
1983,  4, 0.0420,257.765, 39.17, 44.64, 41.90,  1.91, 35.98
1983,  5, 0.0392,257.443, 34.82, 52.90, 43.86,  0.96, 28.93
1983,  6, 0.0355,257.481, 27.30, 60.19, 43.74,  0.56, 27.48
1983,  7, 0.0327,258.058, 20.27, 65.14, 42.70,  0.26, 27.58
1983,  8, 0.0321,259.156, 16.28, 67.10, 41.69,  0.17, 27.68
1983,  9, 0.0352,260.944, 16.19, 66.57, 41.38,  0.07, 26.99
1983, 10, 0.0408,263.112, 17.40, 62.41, 39.90,  0.07, 33.15
1983, 11, 0.0475,265.620, 17.90, 57.91, 37.90,  0.03, 41.94
1983, 12, 0.0598,268.639, 20.58, 53.23, 36.90,  0.03, 45.90
1983, 13, 0.0799,272.656, 26.67, 45.78, 36.23,  0.10, 48.73
1983, 14, 0.1023,276.439, 33.51, 37.99, 35.75,  0.30, 51.24
1983, 15, 0.1292,279.951, 41.00, 31.48, 36.24,  0.40, 49.29
1983, 16, 0.1563,282.673, 36.64, 43.13, 39.88,  0.43, 34.17
1983, 17, 0.1899,285.704, 40.20, 39.78, 39.99,  0.30, 33.77
1983, 18, 0.2238,288.051, 42.03, 37.62, 39.82,  0.46, 34.40
1983, 19, 0.2567,289.614, 41.88, 39.19, 40.53,  0.53, 32.36
1983, 20, 0.2870,290.910, 37.24, 41.10, 39.17,  0.82, 35.81
1983, 21, 0.3070,291.678, 35.73, 42.11, 38.92,  0.69, 36.11
1983, 22, 0.3221,292.161, 35.02, 41.21, 38.12,  0.79, 39.01
1983, 23, 0.3260,291.955, 31.80, 45.24, 38.52,  0.73, 37.03
1983, 24, 0.3217,291.518, 27.02, 52.05, 39.53,  0.49, 33.81
1983, 25, 0.3211,291.890, 24.84, 52.40, 38.62,  0.53, 36.31
1983, 26, 0.3227,292.546, 24.27, 49.10, 36.68,  0.96, 43.20
1983, 27, 0.3226,293.006, 24.59, 46.95, 35.77,  0.99, 47.97
1983, 28, 0.3156,293.090, 22.71, 48.69, 35.70,  1.05, 48.37
1983, 29, 0.3041,293.127, 19.09, 51.12, 35.10,  1.81, 50.87
1983, 30, 0.2914,292.988, 18.11, 54.16, 36.13,  1.94, 46.95
