Mean Values
year,week,SMN,SMT,VCI,TCI,VHI,%Area_VHI_LESS_15,%Area_VHI_LESS_35
1981, 35, 0.1933,288.620, 11.85, 72.03, 41.94,  1.79, 29.58
1981, 36, 0.1983,289.113, 18.15, 60.98, 39.56,  4.53, 39.18
1981, 37, 0.2042,289.299, 27.07, 48.26, 37.66,  5.37, 46.87
1981, 38, 0.2075,288.843, 36.52, 38.49, 37.51,  4.59, 48.12
1981, 39, 0.2064,287.617, 44.67, 32.34, 38.50,  3.04, 43.11
1981, 40, 0.1994,285.574, 51.29, 29.94, 40.62,  1.25, 34.82
1981, 41, 0.1860,282.522, 55.45, 34.86, 45.15,  0.18, 22.48
1981, 42, 0.1682,278.805, 57.39, 43.43, 50.40,  0.12, 13.42
1981, 43, 0.1438,274.859, 55.47, 49.29, 52.38,  0.12, 11.03
1981, 44, 0.1156,270.279, 49.79, 57.34, 53.56,  0.06,  9.84
1981, 45, 0.0898,265.883, 44.71, 63.08, 53.89,  0.36, 10.91
1981, 46, 0.0731,262.488, 44.67, 64.09, 54.38,  0.48, 12.28
1981, 47, 0.0641,260.271, 46.33, 61.62, 53.97,  0.36, 14.13
1981, 48, 0.0575,259.445, 47.42, 55.62, 51.52,  0.95, 17.05
1981, 49, 0.0517,258.648, 45.44, 52.59, 49.01,  1.25, 21.76
1981, 50, 0.0501,258.225, 48.96, 49.17, 49.06,  0.83, 21.83
1981, 51, 0.0473,257.831, 50.19, 46.83, 48.51,  0.48, 21.94
1981, 52, 0.0438,258.100, 49.96, 41.10, 45.53,  0.54, 24.81
1982,  1, 0.0426,259.207, 58.04, 25.73, 41.88,  0.72, 31.49
1982,  2, 0.0429,260.586, 60.64, 19.49, 40.06,  0.66, 33.45
1982,  3, 0.0435,261.836, 61.20, 17.04, 39.12,  0.72, 36.79
1982,  4, 0.0419,263.212, 57.71, 16.95, 37.33,  0.54, 42.99
1982,  5, 0.0395,263.619, 53.07, 22.80, 37.93,  0.36, 38.82
1982,  6, 0.0377,264.393, 46.40, 28.40, 37.40,  0.18, 39.71
1982,  7, 0.0367,265.223, 37.93, 34.48, 36.21,  0.06, 45.62
1982,  8, 0.0378,266.320, 32.65, 38.86, 35.76,  0.06, 47.70
1982,  9, 0.0383,267.592, 28.10, 42.81, 35.46,  0.00, 48.54
1982, 10, 0.0406,269.355, 24.32, 44.42, 34.37,  0.00, 55.93
1982, 11, 0.0486,271.896, 24.16, 41.97, 33.06,  0.06, 64.22
1982, 12, 0.0591,274.481, 24.65, 41.28, 32.96,  0.12, 63.98
1982, 13, 0.0683,276.264, 24.78, 42.75, 33.76,  0.30, 57.72
1982, 14, 0.0756,277.570, 23.58, 44.17, 33.88,  0.66, 56.05
1982, 15, 0.0825,278.040, 20.60, 49.76, 35.18,  0.66, 51.88
1982, 16, 0.1014,279.344, 17.07, 66.07, 41.57,  0.42, 28.74
1982, 17, 0.1263,281.390, 16.85, 71.91, 44.38,  0.24, 20.99
1982, 18, 0.1667,284.567, 22.49, 70.45, 46.47,  0.36, 17.23
1982, 19, 0.2143,287.966, 28.53, 66.00, 47.26,  0.36, 14.61
1982, 20, 0.2569,290.246, 29.16, 63.22, 46.19,  0.06, 16.93
1982, 21, 0.2896,291.270, 32.20, 63.12, 47.66,  0.06, 13.77
1982, 22, 0.3092,291.509, 32.68, 64.27, 48.47,  0.00, 11.93
1982, 23, 0.3166,291.520, 30.17, 65.85, 48.01,  0.00, 10.91
1982, 24, 0.3188,291.552, 27.72, 67.75, 47.74,  0.06, 11.45
1982, 25, 0.3183,291.309, 25.83, 72.37, 49.10,  0.00,  8.23
1982, 26, 0.3182,291.336, 24.99, 74.82, 49.90,  0.00,  6.98
