Mean Values
year,week,SMN,SMT,VCI,TCI,VHI,%Area_VHI_LESS_15,%Area_VHI_LESS_35
1981, 35, 0.1492,293.913, 23.66, 77.81, 50.73,  0.05, 11.67
1981, 36, 0.1539,294.421, 28.35, 62.09, 45.22,  0.48, 25.32
1981, 37, 0.1555,294.292, 32.27, 49.37, 40.82,  1.83, 36.83
1981, 38, 0.1550,293.578, 36.52, 40.82, 38.67,  2.85, 42.74
1981, 39, 0.1526,292.183, 41.09, 34.97, 38.03,  3.07, 44.14
1981, 40, 0.1485,290.144, 44.95, 30.35, 37.65,  3.12, 45.54
1981, 41, 0.1429,287.511, 47.07, 28.79, 37.93,  2.37, 42.74
1981, 42, 0.1344,284.331, 47.26, 30.03, 38.65,  1.45, 40.54
1981, 43, 0.1241,281.099, 46.81, 30.62, 38.71,  0.75, 40.54
1981, 44, 0.1089,277.301, 43.16, 35.35, 39.25,  0.38, 38.39
1981, 45, 0.0922,273.704, 38.89, 40.16, 39.52,  0.48, 37.20
1981, 46, 0.0783,270.581, 35.35, 43.53, 39.44,  0.91, 38.66
1981, 47, 0.0700,267.927, 34.08, 45.94, 40.01,  1.13, 37.15
1981, 48, 0.0646,266.049, 34.50, 45.57, 40.03,  1.72, 38.60
1981, 49, 0.0610,264.869, 35.05, 43.31, 39.18,  2.20, 41.83
1981, 50, 0.0590,263.938, 37.30, 41.08, 39.19,  1.88, 43.17
1981, 51, 0.0583,263.654, 40.90, 37.28, 39.09,  1.83, 43.01
1981, 52, 0.0571,263.862, 43.24, 32.09, 37.67,  1.61, 45.38
1982,  1, 0.0534,264.573, 47.33, 19.94, 33.63,  4.73, 57.04
1982,  2, 0.0499,265.091, 48.30, 17.99, 33.15,  4.14, 58.23
1982,  3, 0.0510,265.592, 50.06, 19.38, 34.72,  1.99, 53.12
1982,  4, 0.0523,266.575, 49.66, 22.60, 36.13,  0.86, 50.22
1982,  5, 0.0531,267.364, 47.03, 27.24, 37.13,  0.38, 46.24
1982,  6, 0.0542,268.567, 42.97, 31.00, 36.98,  0.32, 45.65
1982,  7, 0.0562,270.213, 37.19, 33.31, 35.25,  0.22, 52.74
1982,  8, 0.0601,271.919, 34.30, 33.79, 34.05,  0.32, 59.73
1982,  9, 0.0603,273.420, 30.00, 35.39, 32.69,  0.54, 66.83
1982, 10, 0.0633,275.252, 27.03, 36.29, 31.66,  0.59, 70.97
1982, 11, 0.0719,277.563, 28.36, 34.99, 31.67,  0.43, 70.97
1982, 12, 0.0827,280.100, 30.25, 33.67, 31.96,  0.38, 68.23
1982, 13, 0.0939,282.831, 31.35, 31.43, 31.39,  0.86, 70.70
1982, 14, 0.1030,285.091, 31.36, 30.19, 30.78,  1.93, 71.24
1982, 15, 0.1087,286.328, 29.51, 31.17, 30.34,  2.37, 72.15
1982, 16, 0.1238,287.707, 28.42, 38.34, 33.38,  2.04, 58.60
1982, 17, 0.1454,289.339, 28.34, 46.28, 37.31,  1.45, 43.44
1982, 18, 0.1650,290.515, 27.61, 56.74, 42.17,  0.64, 27.15
1982, 19, 0.1866,292.019, 27.26, 63.77, 45.52,  0.22, 17.20
1982, 20, 0.2062,293.461, 23.89, 67.51, 45.70,  0.00, 15.86
1982, 21, 0.2239,294.717, 26.36, 66.02, 46.19,  0.00, 14.41
1982, 22, 0.2326,295.371, 27.13, 66.09, 46.61,  0.00, 12.85
1982, 23, 0.2326,295.904, 26.56, 64.93, 45.75,  0.11, 15.86
1982, 24, 0.2283,296.405, 25.53, 66.28, 45.91,  0.11, 16.50
1982, 25, 0.2215,296.440, 24.16, 73.96, 49.06,  0.00,  9.89
1982, 26, 0.2165,296.696, 23.91, 77.37, 50.64,  0.00,  7.47
1982, 27, 0.2098,296.958, 23.60, 77.01, 50.31,  0.00,  8.44
1982, 28, 0.2022,296.891, 23.82, 76.14, 49.98,  0.05,  8.23
1982, 29, 0.2074,297.692, 28.03, 71.36, 49.69,  0.00,  8.82
1982, 30, 0.2132,298.693, 39.99, 64.59, 52.29,  0.11,  7.80
1982, 31, 0.2122,299.204, 42.71, 60.79, 51.75,  0.11,  8.44
