Mean Values
year,week,SMN,SMT,VCI,TCI,VHI,%Area_VHI_LESS_15,%Area_VHI_LESS_35
1981, 35, 0.3150,286.227, 34.30, 71.46, 52.88,  0.00,  3.75
1981, 36, 0.3216,287.486, 43.64, 58.53, 51.09,  0.00,  7.19
1981, 37, 0.3249,287.958, 53.31, 45.77, 49.54,  0.16,  9.84
1981, 38, 0.3213,287.879, 59.04, 36.83, 47.94,  0.00, 12.81
1981, 39, 0.3124,287.108, 62.67, 31.43, 47.05,  0.16, 13.28
1981, 40, 0.2943,285.664, 64.68, 31.09, 47.89,  0.00, 11.56
1981, 41, 0.2687,283.501, 64.78, 34.42, 49.60,  0.16,  8.59
1981, 42, 0.2389,280.554, 62.20, 41.31, 51.75,  0.00,  7.66
1981, 43, 0.2024,276.594, 56.89, 51.64, 54.26,  0.00,  4.69
1981, 44, 0.1631,272.460, 50.82, 58.22, 54.52,  0.00,  6.09
1981, 45, 0.1244,268.327, 44.22, 61.68, 52.95,  0.00,  8.75
1981, 46, 0.0968,264.188, 39.66, 65.60, 52.62,  0.00, 10.16
1981, 47, 0.0815,260.426, 40.90, 70.29, 55.59,  0.00,  7.50
1981, 48, 0.0704,258.086, 43.54, 71.63, 57.58,  0.00,  6.56
1981, 49, 0.0622,257.361, 41.59, 68.89, 55.24,  0.00,  8.75
1981, 50, 0.0590,257.101, 43.82, 65.42, 54.62,  0.00,  8.59
1981, 51, 0.0555,257.067, 45.06, 62.06, 53.56,  0.00,  6.88
1981, 52, 0.0525,257.306, 43.85, 58.00, 50.92,  0.16,  8.12
1982,  1, 0.0515,258.444, 49.81, 48.33, 49.07,  0.16, 11.88
1982,  2, 0.0516,260.184, 47.78, 40.53, 44.15,  0.16, 20.00
1982,  3, 0.0520,261.550, 46.15, 36.14, 41.14,  0.16, 25.94
1982,  4, 0.0522,262.651, 41.58, 35.83, 38.70,  0.16, 34.69
1982,  5, 0.0520,263.919, 35.37, 36.25, 35.81,  0.16, 45.62
1982,  6, 0.0518,265.267, 30.37, 37.27, 33.82,  0.16, 58.12
1982,  7, 0.0534,266.329, 27.06, 39.93, 33.50,  0.00, 60.62
1982,  8, 0.0547,267.133, 25.42, 43.65, 34.53,  0.00, 56.25
1982,  9, 0.0544,268.287, 22.96, 47.76, 35.36,  0.00, 49.69
1982, 10, 0.0558,270.010, 20.51, 48.87, 34.69,  0.00, 53.75
1982, 11, 0.0602,271.680, 19.17, 49.21, 34.19,  0.00, 59.06
1982, 12, 0.0685,273.406, 18.40, 50.45, 34.42,  0.00, 57.34
1982, 13, 0.0769,274.524, 17.78, 51.33, 34.55,  0.16, 56.56
1982, 14, 0.0845,274.927, 17.39, 54.74, 36.06,  0.31, 48.91
1982, 15, 0.0889,274.790, 15.58, 60.15, 37.86,  0.47, 40.31
1982, 16, 0.1048,275.813, 13.13, 74.25, 43.69,  0.16, 20.00
1982, 17, 0.1281,277.626, 14.27, 75.81, 45.04,  0.00, 14.53
1982, 18, 0.1637,280.805, 19.24, 70.57, 44.90,  0.00, 16.56
1982, 19, 0.2122,284.679, 27.22, 60.49, 43.85,  0.16, 20.78
1982, 20, 0.2544,287.457, 26.66, 55.38, 41.02,  0.31, 29.38
1982, 21, 0.2850,288.661, 29.28, 54.35, 41.82,  0.62, 27.19
1982, 22, 0.3043,289.434, 29.49, 54.81, 42.15,  0.16, 26.09
1982, 23, 0.3125,289.751, 28.10, 56.83, 42.47,  0.16, 24.38
