Mean Values
year,week,SMN,SMT,VCI,TCI,VHI,%Area_VHI_LESS_15,%Area_VHI_LESS_35
1981, 35, 0.1543,294.646, 18.53, 76.60, 47.57,  0.09, 15.34
1981, 36, 0.1577,295.181, 23.90, 60.05, 41.97,  0.61, 28.85
1981, 37, 0.1562,294.774, 28.08, 47.86, 37.97,  2.21, 42.21
1981, 38, 0.1531,293.763, 33.15, 39.82, 36.48,  3.11, 47.11
1981, 39, 0.1474,291.961, 38.62, 36.39, 37.50,  2.92, 44.33
1981, 40, 0.1394,289.401, 42.77, 33.84, 38.31,  2.82, 42.78
1981, 41, 0.1281,286.014, 43.29, 36.47, 39.88,  2.02, 37.83
1981, 42, 0.1127,281.842, 41.00, 42.49, 41.74,  0.99, 30.68
1981, 43, 0.0952,277.392, 37.80, 46.68, 42.24,  0.52, 28.28
1981, 44, 0.0781,272.535, 33.49, 52.96, 43.23,  0.19, 24.14
1981, 45, 0.0650,267.639, 31.35, 61.15, 46.25,  0.23, 16.47
1981, 46, 0.0551,263.235, 30.37, 69.07, 49.72,  0.23, 11.11
1981, 47, 0.0492,260.157, 30.09, 73.31, 51.70,  0.47,  9.84
1981, 48, 0.0457,258.134, 29.89, 73.64, 51.76,  0.38, 10.40
1981, 49, 0.0443,257.297, 31.08, 69.70, 50.39,  0.33, 13.55
1981, 50, 0.0438,256.871, 34.59, 64.98, 49.78,  0.38, 15.39
1981, 51, 0.0435,256.970, 39.39, 57.51, 48.45,  0.28, 16.66
1981, 52, 0.0431,257.824, 43.51, 46.15, 44.83,  0.28, 22.54
1982,  1, 0.0408,258.806, 47.64, 32.65, 40.14,  0.89, 36.47
1982,  2, 0.0389,260.026, 49.83, 26.88, 38.36,  0.94, 40.71
1982,  3, 0.0385,261.188, 50.77, 23.73, 37.25,  0.38, 44.66
1982,  4, 0.0374,262.493, 49.37, 23.34, 36.35,  0.38, 47.72
1982,  5, 0.0358,263.504, 45.57, 26.89, 36.23,  0.33, 48.42
1982,  6, 0.0335,264.239, 39.42, 33.27, 36.35,  0.33, 48.09
1982,  7, 0.0318,265.266, 30.83, 40.02, 35.42,  0.19, 50.92
1982,  8, 0.0337,267.063, 27.54, 42.76, 35.15,  0.33, 51.48
1982,  9, 0.0339,268.671, 23.38, 45.54, 34.46,  0.14, 54.87
1982, 10, 0.0370,270.851, 21.26, 46.50, 33.88,  0.19, 57.65
1982, 11, 0.0451,273.567, 23.56, 44.99, 34.27,  0.14, 55.06
1982, 12, 0.0571,276.977, 26.94, 41.51, 34.22,  0.09, 55.76
1982, 13, 0.0723,280.649, 30.89, 37.13, 34.01,  0.23, 56.66
1982, 14, 0.0841,283.678, 32.31, 33.69, 33.00,  0.85, 61.41
1982, 15, 0.0955,285.855, 32.01, 32.63, 32.32,  1.46, 63.76
1982, 16, 0.1147,287.705, 32.90, 37.84, 35.37,  0.89, 50.35
1982, 17, 0.1374,289.135, 32.74, 45.36, 39.05,  0.42, 36.09
1982, 18, 0.1622,290.336, 32.60, 55.44, 44.02,  0.00, 20.57
1982, 19, 0.1912,291.891, 33.51, 62.33, 47.92,  0.00, 11.48
1982, 20, 0.2226,293.637, 31.36, 62.58, 46.97,  0.05, 11.29
1982, 21, 0.2533,295.283, 36.39, 61.75, 49.07,  0.09,  8.28
1982, 22, 0.2719,296.084, 38.95, 62.30, 50.62,  0.09,  7.06
1982, 23, 0.2762,296.413, 38.12, 63.17, 50.64,  0.00,  7.62
1982, 24, 0.2723,296.477, 35.58, 68.28, 51.93,  0.00,  6.26
1982, 25, 0.2633,296.422, 31.68, 75.73, 53.71,  0.00,  4.80
1982, 26, 0.2595,296.971, 30.38, 75.36, 52.87,  0.00,  4.99
1982, 27, 0.2509,297.275, 28.22, 73.51, 50.87,  0.05,  7.39
1982, 28, 0.2436,297.699, 28.23, 68.88, 48.56,  0.09,  9.65
1982, 29, 0.2417,298.366, 30.06, 64.15, 47.10,  0.14, 12.05
