Mean Values
year,week,SMN,SMT,VCI,TCI,VHI,%Area_VHI_LESS_15,%Area_VHI_LESS_35
1981, 35, 0.1835,284.939,  6.51, 87.91, 47.21,  0.00, 10.46
1981, 36, 0.1913,285.715, 12.41, 75.60, 44.01,  0.42, 22.73
1981, 37, 0.1959,285.928, 20.52, 59.67, 40.09,  1.63, 34.73
1981, 38, 0.2013,285.698, 31.11, 44.74, 37.93,  2.18, 42.07
1981, 39, 0.2016,284.651, 39.73, 35.53, 37.63,  2.37, 42.54
1981, 40, 0.1975,282.932, 47.33, 29.63, 38.48,  1.67, 39.38
1981, 41, 0.1853,280.457, 52.54, 30.68, 41.61,  0.93, 28.45
1981, 42, 0.1647,277.478, 54.17, 35.57, 44.87,  0.47, 20.92
1981, 43, 0.1399,274.120, 53.92, 40.18, 47.05,  0.37, 16.88
1981, 44, 0.1126,270.116, 50.24, 47.95, 49.09,  0.32, 14.41
1981, 45, 0.0918,265.621, 49.51, 58.27, 53.89,  0.14,  9.99
1981, 46, 0.0762,261.494, 49.09, 64.97, 57.03,  0.14,  8.46
1981, 47, 0.0635,257.969, 45.59, 69.47, 57.53,  0.19, 10.14
1981, 48, 0.0569,255.424, 47.08, 71.56, 59.32,  0.42,  9.44
1981, 49, 0.0517,253.577, 46.48, 73.25, 59.86,  0.47,  9.39
1981, 50, 0.0493,252.298, 49.31, 74.07, 61.69,  0.56,  7.86
1981, 51, 0.0473,251.881, 51.78, 72.06, 61.92,  0.42,  7.58
1981, 52, 0.0439,252.193, 49.63, 64.75, 57.19,  0.42, 10.79
1982,  1, 0.0413,253.145, 50.44, 55.15, 52.79,  0.74, 15.16
1982,  2, 0.0392,254.291, 50.04, 47.34, 48.69,  0.65, 19.06
1982,  3, 0.0376,255.442, 50.42, 41.94, 46.18,  0.56, 21.90
1982,  4, 0.0371,257.276, 52.84, 35.65, 44.24,  0.32, 24.03
1982,  5, 0.0350,258.318, 49.45, 36.52, 42.99,  0.47, 24.08
1982,  6, 0.0312,258.974, 38.18, 43.06, 40.62,  0.32, 30.54
1982,  7, 0.0301,260.301, 28.99, 48.04, 38.51,  0.05, 37.47
1982,  8, 0.0319,262.164, 24.64, 49.98, 37.31,  0.00, 40.31
1982,  9, 0.0334,264.182, 21.80, 51.76, 36.78,  0.05, 41.61
1982, 10, 0.0376,266.657, 21.50, 50.00, 35.74,  0.05, 46.77
1982, 11, 0.0451,269.272, 22.02, 47.54, 34.78,  0.09, 52.67
1982, 12, 0.0559,271.890, 24.20, 46.27, 35.24,  0.00, 50.77
